LEAGUE,NAME,SEASON,UNIQUE ID,POS,AGE,#,TEAM,GP,EV P1/GP,PP P1/GP,P1/GP,EV G,EV A1,EV A2,EV P1,PP G,PP A1,PP A2,PP P1,SH G,SH A1,SH A2,SHOTS,SH%,TG,TP,TP/GP,EV%,Goals/P1,MISSING GF%,EV GF,EV GA,EV GF%,EV GF%Rel,OFF EV GF,OFF EV GA,eTOI/GP,P1/e60,DOB,BIRTH YEAR,HT,SHOOTS,Breakout Season,TSA,ShotAttempts/P1/e60
NCAAD1,Loren Gabel,2019,372461/loren-gabel,F,22,19,CLK,38,1.3947,0.2632,1.8158,38,15,3,53,2,8,3,10,0,0,0,277,14.44,40,69,1.8158,84.13,63.49,0,73,22,76.84,20.39,35,27,27.28,3.6466,7/24/1997,1997,5'04,L,FALSE,424,116.2726924
NCAAD1,Annie Pankowski,2019,368875/annie-pankowski,F,25,19,WIS,39,0.7949,0.1795,1.2821,21,10,5,31,4,3,3,7,3,1,0,216,12.96,28,50,1.2821,81.58,65.79,0,43,10,81.13,0.08,77,18,20.03,3.2266,11/4/1994,1994,5'08,R,FALSE,364,112.8122482
NCAAD1,Elizabeth Giguere,2020,368746/elizabeth-giguere,F,23,7,CLK,37,1.1351,0.2703,1.7838,30,12,4,42,4,6,6,10,3,1,0,245,15.1,37,66,1.7838,80.77,65.38,0,50,14,78.13,19.94,32,23,27.55,3.2958,5/8/1997,1997,5'10,R,FALSE,362,109.8367619
NCAAD1,Kasidy Anderson,2019,309202/kasidy-anderson,F,22,37,NOE,38,0.5789,0.1053,0.9474,17,5,9,22,4,0,1,4,0,0,0,200,10.5,21,36,0.9474,84.62,80.77,0,50,22,69.44,11.02,52,37,22.23,1.8471,2/2/1997,1997,5'10,R,FALSE,359,194.3587245
NCAAD1,Maureen Murphy,2019,372841/maureen-murphy,F,20,15,PRV,37,0.6486,0.1081,1.1622,17,7,6,24,2,2,5,4,3,1,0,192,11.46,22,43,1.1622,85.71,67.86,0,44,19,69.84,19.1,34,33,24.44,2.1234,12/15/1999,1999,5'04,R,FALSE,339,159.6496185
NCAAD1,Natalie Snodgrass,2019,368909/natalie-snodgrass,F,21,9,CON,36,0.5,0.1389,0.8056,11,7,2,18,3,2,3,5,1,0,0,178,8.43,15,29,0.8056,78.26,60.87,0,28,32,46.67,5.42,33,47,22.64,1.7667,12/17/1998,1998,5'06,L,FALSE,337,190.7511179
NCAAD1,Grace Zumwinkle,2020,399385/grace-zumwinkle,F,21,12,MIN,36,0.9167,0.0556,1.25,23,10,7,33,2,0,3,2,0,0,0,200,12.5,25,45,1.25,94.29,71.43,0,56,19,74.67,8.69,64,33,21.85,2.6698,4/23/1999,1999,5'09,R,FALSE,311,116.4881265
NCAAD1,Mikyla Grant-Mentis,2020,390574/mikyla-grant-mentis,F,22,13,MER,33,0.5758,0.2727,1,12,7,1,19,6,3,1,9,2,1,0,161,12.42,20,33,1,67.86,64.29,0,20,31,39.22,16.41,13,44,24.48,2.3025,7/15/1998,1998,5'06,L,FALSE,310,134.6362649
NCAAD1,Taylor Wenczkowski,2019,399311/taylor-wenczkowski,F,22,12,UNH,36,0.5,0.1667,0.7222,14,4,1,18,5,1,0,6,1,0,0,168,11.9,20,26,0.7222,75,79.17,0,27,26,50.94,11.88,25,39,22.21,1.8762,9/25/1997,1997,5'07,R,TRUE,309,164.6945955
NCAAD1,Daryl Watts,2019,390570/daryl-watts,F,20,9,BC,39,0.8205,0.2051,1.2308,16,16,5,32,5,3,2,8,1,0,0,184,11.96,22,48,1.2308,80,52.5,0,45,19,70.31,7.66,52,31,20.7,3.0473,5/15/1999,1999,5'06,L,FALSE,300,98.44780625
NCAAD1,Elizabeth Giguere,2019,368746/elizabeth-giguere,F,22,7,CLK,40,1,0.225,1.825,18,22,15,40,3,6,2,9,5,2,0,169,15.38,26,73,1.825,81.63,42.86,0,76,22,77.55,19.98,38,28,25.47,3.2974,5/8/1997,1997,5'10,R,FALSE,299,90.67750349
NCAAD1,Elizabeth Furfari,2019,581990/elizabeth-furfari,F,20,23,SAC,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,100,1,1,1,100,100,0,1,0,100,0,4,0,11.92,5.032,11/1/1999,1999,5'06,-,FALSE,299,59.41971383
NCAAD1,Elizabeth Furfari,2020,581990/elizabeth-furfari,F,21,23,SAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,27.27,8,3,9.79,0.01,11/1/1999,1999,5'06,-,FALSE,299,29900
NCAAD1,Elizabeth Furfari,2021,581990/elizabeth-furfari,F,22,23,SAC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,-20,1,4,13.5,0.01,11/1/1999,1999,5'06,-,FALSE,299,29900
NCAAD1,Jessie Eldridge,2019,397255/jessie-eldridge,F,22,9,CLG,38,0.8421,0.3158,1.4211,21,11,3,32,5,7,3,12,4,0,0,190,15.79,30,54,1.4211,72.73,59.09,0,57,28,67.06,15.67,37,35,24.44,3.1008,12/17/1997,1997,5'08,R,FALSE,297,95.78173375
NCAAD1,Daryl Watts,2020,390570/daryl-watts,F,21,19,WIS,36,1.1389,0.3889,2.0556,21,20,9,41,3,11,8,14,1,1,0,176,14.2,25,74,2.0556,74.55,43.64,0,59,26,69.41,-3.21,61,23,23.57,4.0309,5/15/1999,1999,5'06,L,TRUE,294,72.93656504
NCAAD1,Caitrin Lonergan,2019,368896/caitrin-lonergan,F,22,11,BC,37,0.6216,0.1351,1.0541,10,13,6,23,3,2,4,5,1,0,0,170,8.24,14,39,1.0541,82.14,46.43,0,39,17,69.64,4.13,57,30,19.37,2.4284,9/10/1997,1997,5'06,R,FALSE,292,120.2437819
NCAAD1,Carly Bullock,2019,497037/carly-bullock,F,21,20,PRN,33,0.8485,0.2727,1.303,16,12,3,28,5,4,3,9,0,0,0,150,14,21,43,1.303,75.68,56.76,0,47,21,69.12,15.78,32,28,23.69,2.8397,3/4/1998,1998,5'07,R,FALSE,286,100.7148642
NCAAD1,Carly Bullock,2020,497037/carly-bullock,F,22,20,PRN,33,1.0303,0.3333,1.6364,21,13,5,34,8,3,3,11,1,0,0,195,15.38,30,54,1.6364,75.56,64.44,0,52,16,76.47,15.91,43,28,24.97,3.3491,3/4/1998,1998,5'07,R,TRUE,286,85.39607656
NCAAD1,Shae Labbe,2019,368747/shae-labbe,F,22,12,CLG,38,0.6842,0.2368,1.1842,15,11,6,26,1,8,4,9,0,0,0,159,10.06,16,45,1.1842,74.29,45.71,0,47,24,66.2,11.55,47,39,20.32,2.7193,1/6/1997,1997,5'06,R,FALSE,278,102.2321921
NCAAD1,Taylor Heise,2020,399390/taylor-heise,F,20,9,MIN,36,0.9444,0.1111,1.1944,15,19,5,34,3,1,0,4,0,0,0,168,10.71,18,43,1.1944,89.47,47.37,0,55,23,70.51,1.36,65,29,21.35,2.9658,3/17/2000,2000,5'10,R,FALSE,273,92.04936274
NCAAD1,Melissa Samoskevich,2019,368901/melissa-samoskevich,F,22,11,QUI,34,0.4706,0.0882,0.6765,11,5,2,16,2,1,2,3,0,0,0,172,7.56,13,23,0.6765,84.21,68.42,0,27,24,52.94,3.76,30,31,23.41,1.4325,3/31/1997,1997,5'04,L,FALSE,271,189.1797557
NCAAD1,Emma Nuutinen,2020,192153/emma-nuutinen,F,24,20,MRC,34,0.5882,0.3824,1.1765,13,7,4,20,8,5,2,13,0,1,0,161,13.04,21,40,1.1765,60.61,63.64,0,27,21,56.25,-2.96,45,31,22.33,2.6867,12/7/1996,1996,5'09,L,FALSE,265,98.63401198
NCAAD1,Maggie Connors,2020,372847/maggie-connors,F,20,22,PRN,33,0.9697,0.1818,1.4242,20,12,6,32,2,4,3,6,0,0,0,181,12.15,22,47,1.4242,84.21,57.89,0,56,16,77.78,19.57,39,28,24.11,2.8651,10/22/2000,2000,5'06,L,FALSE,264,92.14338068
NCAAD1,Natalie Snodgrass,2020,368909/natalie-snodgrass,F,22,9,CON,39,0.5128,0.0769,0.8462,13,7,6,20,2,1,3,3,1,0,0,187,8.56,16,33,0.8462,86.96,65.22,0,37,33,52.86,7.86,36,44,23.08,1.5999,12/17/1998,1998,5'06,L,FALSE,257,160.6350397
NCAAD1,Emma Maltais,2020,404432/emma-maltais,F,21,17,OSU,38,0.9211,0.2105,1.5526,15,20,13,35,3,5,2,8,1,0,0,174,10.92,19,59,1.5526,81.4,41.86,0,59,34,63.44,3.44,39,26,26.25,2.6466,11/4/1999,1999,5'04,L,FALSE,257,97.10572055
NCAAD1,Grace Zumwinkle,2019,399385/grace-zumwinkle,F,20,12,MIN,39,0.6667,0.1795,1.0513,18,8,6,26,7,0,2,7,0,0,0,146,17.12,25,41,1.0513,78.79,75.76,0,42,20,67.74,-4.39,88,34,18.37,2.7633,4/23/1999,1999,5'09,R,FALSE,254,91.91908226
NCAAD1,Maggie Bringard,2020,562085/maggie-bringard,F,0,29,SAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7.07,0.01,,,Unknown,-,FALSE,252,25200
NCAAD1,Maggie Connors,2019,372847/maggie-connors,F,19,22,PRN,32,0.75,0.3438,1.3438,16,8,4,24,10,1,4,11,0,0,0,162,16.05,26,43,1.3438,68.57,74.29,0,46,19,70.77,16.53,32,27,23.3,2.8165,10/22/2000,2000,5'06,L,FALSE,252,89.47274987
NCAAD1,Maddie Mills,2019,372839/maddie-mills,F,21,22,COR,36,0.4444,0.3333,1.0833,9,7,5,16,7,5,4,12,2,0,0,146,12.33,18,39,1.0833,57.14,57.14,0,32,17,65.31,0.75,51,28,21.12,2.368,8/19/1998,1998,5'04,-,FALSE,251,105.9966216
NCAAD1,Sara Hjalmarsson,2020,366158/sara-hjalmarsson,F,22,19,PRV,36,0.4722,0.1667,0.7778,11,6,1,17,6,0,4,6,0,0,0,128,13.28,17,28,0.7778,73.91,73.91,0,28,15,65.12,15.78,37,38,20.01,1.9157,2/8/1998,1998,5'09,L,FALSE,249,129.9785979
NCAAD1,Bailey Larson,2019,397281/bailey-larson,F,23,61,CLG,38,0.4211,0.0789,0.6579,8,8,3,16,2,1,2,3,1,0,0,148,7.43,11,25,0.6579,84.21,52.63,0,28,19,59.57,-0.43,66,44,19.09,1.6546,11/5/1996,1996,5'02,R,FALSE,249,150.4895443
NCAAD1,Haley Mack,2020,495214/haley-mack,F,22,19,BMJ,37,0.4865,0.0811,0.7568,10,8,4,18,3,0,0,3,2,1,0,170,8.82,15,28,0.7568,85.71,61.9,0,26,16,61.9,26.19,30,54,20.62,1.887,5/29/1998,1998,5'02,L,FALSE,249,131.9554849
NCAAD1,Emma Maltais,2019,404432/emma-maltais,F,20,17,OSU,35,0.7143,0.2,1.2286,9,16,5,25,4,3,3,7,2,1,0,162,9.26,15,43,1.2286,78.13,40.63,0,40,28,58.82,6.71,37,34,23.89,2.5114,11/4/1999,1999,5'04,L,FALSE,247,98.35151708
NCAAD1,Presley Norby,2019,368907/presley-norby,F,21,6,WIS,41,0.3902,0.0244,0.561,12,4,6,16,0,1,0,1,0,0,0,153,7.84,12,23,0.561,94.12,70.59,0,26,7,78.79,-2.57,96,22,14.29,1.7406,2/13/1998,1998,5'05,R,FALSE,246,141.3305757
NCAAD1,Sarah Fillier,2020,431721/sarah-fillier,F,20,16,PRN,31,1.1935,0.3548,1.8387,18,19,3,37,4,7,4,11,0,2,0,181,12.15,22,57,1.8387,77.08,45.83,0,59,12,83.1,27.17,33,26,25.68,3.7685,6/9/2000,2000,5'05,R,FALSE,246,65.27796205
NCAAD1,Kristin O'Neill,2019,368741/kristin-o-neill,F,21,20,COR,33,0.7273,0.2121,1.1515,14,10,2,24,7,0,3,7,1,1,0,150,14.67,22,38,1.1515,77.42,67.74,0,36,16,69.23,3.08,43,22,22.58,2.6568,3/30/1998,1998,5'04,L,FALSE,244,91.83980729
NCAAD1,Sarah Fillier,2019,431721/sarah-fillier,F,19,16,PRN,29,1.069,0.4138,1.9655,19,12,4,31,2,10,9,12,1,0,0,152,14.47,22,57,1.9655,72.09,48.84,0,46,22,67.65,16.48,22,21,26.1,3.4877,6/9/2000,2000,5'05,R,FALSE,244,69.96014565
NCAAD1,Britta Curl,2019,519579/britta-curl,F,19,17,WIS,41,0.6098,0.122,0.8049,18,7,2,25,4,1,1,5,0,0,0,156,14.1,22,33,0.8049,83.33,73.33,0,40,7,85.11,6.26,82,22,17.07,2.5721,3/20/2000,2000,5'09,L,FALSE,243,94.47533144
NCAAD1,Taylor Wenczkowski,2020,399311/taylor-wenczkowski,F,23,12,UNH,37,0.2162,0.1081,0.5676,3,5,4,8,4,0,5,4,0,0,0,131,5.34,7,21,0.5676,66.67,58.33,0,22,20,52.38,1.66,35,34,20.53,0.948,9/25/1997,1997,5'07,R,FALSE,237,250
NCAAD1,Lindsay Agnew,2019,368750/lindsay-agnew,F,21,29,BC,39,0.4103,0.0256,0.6667,10,6,3,16,1,0,2,1,4,0,0,156,9.62,15,26,0.6667,94.12,64.71,0,35,19,64.81,-1.85,62,31,19.6,1.6485,3/9/1998,1998,5'07,L,TRUE,236,143.1604489
NCAAD1,Katelyn Knoll,2020,553932/katelyn-knoll,F,19,6,NOE,38,0.3684,0.0526,0.6842,8,6,10,14,2,0,0,2,0,0,0,72,13.89,10,26,0.6842,87.5,62.5,0,39,10,79.59,-5.51,80,14,16.82,1.5021,1/16/2001,2001,5'07,R,FALSE,231,153.7847014
NCAAD1,Katelyn Knoll,2021,553932/katelyn-knoll,F,20,6,NOE,22,0.6364,0.0909,0.9091,9,5,3,14,1,1,0,2,1,0,0,55,20,11,20,0.9091,87.5,62.5,,20,2,90.91,9.66,52,12,15.62,2.9685,1/16/2001,2001,5'07,R,TRUE,231,77.81707933
NCAAD1,Katelyn Rae,2019,398256/katelyn-rae,F,22,18,MER,36,0.7778,0.1389,1.1111,17,11,3,28,5,0,1,5,3,0,0,148,16.89,25,40,1.1111,84.85,66.67,0,39,18,68.42,28.14,29,43,22.31,2.689,5/1/1997,1997,5'01,L,TRUE,231,85.90554109
NCAAD1,Malia Schneider,2019,402453/malia-schneider,F,21,18,CLG,38,0.6842,0.1842,1.1053,13,13,8,26,6,1,1,7,0,0,0,135,14.07,19,42,1.1053,78.79,57.58,0,50,24,67.57,14.56,44,39,20.73,2.5132,10/3/1998,1998,5'06,R,TRUE,230,91.51679134
NCAAD1,Kendall Cornine,2019,389704/kendall-cornine,F,23,10,RIT,35,0.3714,0.1143,0.5429,9,4,1,13,2,2,1,4,0,0,0,138,7.97,11,19,0.5429,76.47,64.71,0,22,20,52.38,8.83,27,35,22.62,1.2886,12/17/1996,1996,5'05,R,FALSE,228,176.9362098
NCAAD1,Jesse Compher,2019,399386/jesse-compher,F,20,7,BU,37,0.7568,0.3243,1.6486,9,19,12,28,5,7,5,12,3,1,0,152,11.18,17,61,1.6486,70,35,0,49,14,77.78,23.09,35,29,23.29,3.0637,7/1/1999,1999,5'08,R,TRUE,227,74.09341646
NCAAD1,Natalie Heising,2019,399383/natalie-heising,F,20,20,PSU,36,0.3611,0.2222,0.7778,11,2,2,13,4,4,5,8,0,0,0,149,10.07,15,28,0.7778,61.9,71.43,0,18,15,54.55,4.55,31,31,21.29,1.6437,6/14/1999,1999,5'05,R,FALSE,226,137.4946766
NCAAD1,Taylor Heise,2019,399390/taylor-heise,F,19,9,MIN,39,0.5641,0.1282,0.8974,11,11,4,22,2,3,4,5,0,0,0,147,8.84,13,35,0.8974,81.48,48.15,0,29,16,64.44,-8.22,101,38,16.59,2.5037,3/17/2000,2000,5'10,R,FALSE,224,89.46758797
NCAAD1,Amy Potomak,2019,402454/amy-potomak,F,20,16,MIN,39,0.4359,0.1538,0.7949,7,10,7,17,4,2,1,6,0,0,0,127,8.66,11,31,0.7949,73.91,47.83,0,38,13,74.51,5.34,92,41,16.81,2.1054,6/25/1999,1999,5'09,R,FALSE,224,106.3930844
NCAAD1,Presley Norby,2020,368907/presley-norby,F,22,6,WIS,36,0.5278,0.0278,0.5833,10,9,1,19,0,1,0,1,0,0,0,141,7.09,10,21,0.5833,95,50,0,31,20,60.78,-14.64,89,29,15.89,2.0981,2/13/1998,1998,5'05,R,FALSE,223,106.2866403
NCAAD1,Kristin Della Rovere,2020,390005/kristin-della-rovere,F,20,11,HAR,33,0.7576,0.2121,1.1212,16,9,2,25,6,1,3,7,0,0,0,168,13.1,22,37,1.1212,78.13,68.75,0,33,14,70.21,26.88,39,51,20.57,2.8283,11/30/2000,2000,5'09,R,TRUE,223,78.84594986
NCAAD1,Tereza Vanisova,2020,215346/tereza-vanisova,F,24,21,MNE,33,0.6061,0.1212,0.9394,13,7,3,20,1,3,4,4,0,0,0,132,10.61,14,31,0.9394,83.33,58.33,0,28,19,59.57,7.85,30,28,20.68,2.11,1/30/1996,1996,5'08,L,FALSE,221,104.7393365
NCAAD1,Maggie McLaughlin,2019,498050/maggie-mclaughlin,F,0,19,STL,36,0.3056,0.0556,0.5,6,5,3,11,1,1,1,2,1,0,0,134,5.97,8,18,0.5,84.62,53.85,0,21,20,51.22,11.93,33,51,19.37,1.2047,,,5'08,-,TRUE,220,182.6180792
NCAAD1,Nicole Dunbar,2019,271669/nicole-dunbar,F,21,4,UNH,36,0.1389,0.1389,0.3889,3,2,2,5,3,2,2,5,0,0,0,123,4.88,6,14,0.3889,50,60,0,13,18,41.94,-3.41,39,47,17.25,0.9662,,1998,5'06,L,FALSE,215,222.5212171
NCAAD1,Christina Putigna,2019,401105/christina-putigna,F,22,21,PRV,33,0.5152,0.1818,0.9091,11,6,5,17,3,3,1,6,1,0,0,130,11.54,15,30,0.9091,73.91,60.87,0,34,21,61.82,6.65,32,26,22.37,1.9506,10/16/1997,1997,5'08,L,FALSE,214,109.7098329
NCAAD1,Tatum Skaggs,2020,554449/tatum-skaggs,F,22,11,OSU,38,0.7105,0.1579,1.1053,14,13,6,27,3,3,3,6,0,0,0,146,11.64,17,42,1.1053,81.82,51.52,0,54,32,62.79,1.68,44,28,23.05,2.2605,11/13/1998,1998,5'06,R,FALSE,212,93.78456094
NCAAD1,Jaycee Gebhard,2019,368744/jaycee-gebhard,F,22,17,RMU,36,0.6389,0.4167,1.4167,14,9,4,23,5,10,8,15,0,1,0,125,15.2,19,51,1.4167,60.53,50,0,33,19,63.46,24.33,27,42,23.03,2.8227,6/2/1997,1997,5'03,L,FALSE,209,74.04258334
NCAAD1,Naomi Rogge,2019,520826/naomi-rogge,F,20,9,MND,35,0.3429,0.1714,0.6571,9,3,5,12,3,3,0,6,0,0,0,138,8.7,12,23,0.6571,66.67,66.67,0,24,33,42.11,-12.06,52,44,19.4,1.5903,1/2/1999,1999,5'05,L,FALSE,207,130.16412
NCAAD1,Samantha Smigliani,2020,553928/samantha-smigliani,F,20,94,CLG,38,0.4737,0.1316,0.8684,11,7,7,18,3,2,3,5,0,0,0,125,11.2,14,33,0.8684,78.26,60.87,0,34,18,65.38,12.96,54,49,18.47,1.9663,12/8/2000,2000,5'08,R,FALSE,204,103.7481564
NCAAD1,Samantha Smigliani,2021,553928/samantha-smigliani,F,21,94,CLG,20,0.5,0.05,0.8,7,3,1,10,1,0,4,1,0,0,0,68,11.76,8,16,0.8,90.91,72.73,,13,9,59.09,-1.33,29,19,18.06,1.8275,12/8/2000,2000,5'08,R,FALSE,204,111.627907
NCAAD1,Samantha Shoebottom,2021,644309/samantha-shoebottom,F,22,24,SAC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,4,0,-17.24,5,24,9.72,0.01,5/15/1999,1999,Unknown,-,FALSE,204,20400
NCAAD1,Liz Schepers,2020,521098/liz-schepers,F,22,21,OSU,38,0.7632,0.1316,1.1316,19,10,7,29,3,2,1,5,0,1,0,140,15.71,22,43,1.1316,85.29,64.71,0,54,23,70.13,15.81,44,37,23.44,2.3574,2/13/1998,1998,5'07,L,TRUE,204,86.53601425
NCAAD1,Lenka Serdar,2019,397303/lenka-serdar,F,22,17,COR,36,0.3056,0.1667,0.6944,6,5,6,11,4,2,0,6,2,0,0,129,9.3,12,25,0.6944,64.71,58.82,0,25,16,60.98,-5.69,58,29,18.28,1.7324,,1997,5'08,L,TRUE,201,116.0240129
NCAAD1,Abby Roque,2019,368894/abby-roque,F,22,18,WIS,41,0.561,0.1951,1.0488,5,18,9,23,6,2,2,8,0,1,0,116,9.48,11,43,1.0488,74.19,35.48,0,51,10,83.61,4.72,71,19,19.07,2.4555,9/25/1997,1997,5'07,R,FALSE,200,81.44980656
NCAAD1,Sydney Brodt,2019,399384/sydney-brodt,F,21,14,MND,35,0.3429,0.0286,0.5714,7,5,3,12,1,0,4,1,0,0,0,117,6.84,8,20,0.5714,92.31,61.54,0,26,31,45.61,-6.47,50,46,19.57,1.1385,5/3/1998,1998,5'06,R,FALSE,200,175.6697409
NCAAD1,Emma Polaski,2020,554162/emma-polaski,F,22,7,SYR,36,0.25,0.1389,0.5278,7,2,5,9,2,3,0,5,0,0,0,128,7.03,9,19,0.5278,64.29,64.29,0,28,22,56,3.12,55,49,18.16,1.2848,10/19/1998,1998,5'07,R,FALSE,200,155.6662516
NCAAD1,Chloe Aurard,2020,367317/chloe-aurard,F,21,12,NOE,38,0.7632,0.1842,1.2895,13,16,6,29,5,2,3,7,3,1,0,139,15.11,21,49,1.2895,80.56,50,0,52,11,82.54,-1.21,67,13,22.47,2.8114,3/15/1999,1999,5'06,L,TRUE,198,70.427545
NCAAD1,Julia Gosling,2020,416201/julia-gosling,F,19,88,STL,25,0.4,0.2,0.84,7,3,5,10,3,2,1,5,0,0,0,137,7.3,10,21,0.84,66.67,66.67,0,18,17,51.43,14.22,16,27,23.28,1.5465,2/21/2001,2001,5'11,L,FALSE,197,127.3844164
NCAAD1,Britta Curl,2020,519579/britta-curl,F,20,17,WIS,36,0.3056,0.2778,0.6944,8,3,3,11,8,2,1,10,0,0,0,121,13.22,16,25,0.6944,52.38,76.19,0,24,10,70.59,-0.52,96,39,16.82,2.0812,3/20/2000,2000,5'09,L,FALSE,197,94.65692869
NCAAD1,Ida Kuoppala,2020,400051/ida-kuoppala,F,20,26,MNE,35,0.4286,0.2571,0.9429,11,4,6,15,7,2,2,9,1,0,0,143,13.29,19,33,0.9429,62.5,75,0,25,20,55.56,3.32,35,32,21.29,2.0131,2/17/2000,2000,5'06,L,FALSE,196,97.36227709
NCAAD1,Amy Potomak,2020,402454/amy-potomak,F,21,16,MIN,36,0.6667,0.1389,1,13,11,6,24,4,1,0,5,1,0,0,137,13.14,18,36,1,82.76,58.62,0,37,17,68.52,-1.82,83,35,17.93,2.7884,6/25/1999,1999,5'09,R,TRUE,196,70.29120643
NCAAD1,Coralie Larose,2019,431750/coralie-larose,F,20,91,CLG,38,0.3158,0.0526,0.6316,8,4,4,12,1,1,5,2,0,1,0,105,8.57,9,24,0.6316,85.71,64.29,0,24,20,54.55,-7.4,70,43,17.19,1.3774,5/16/1999,1999,5'07,R,TRUE,195,141.5710759
